Job Title,Company,Location,Footer,Easy Apply,Job Type,Description,Experience Required,Salary Mentioned,Apply Link,Job ID,Job URL,Company-Title Hash
Data Scientist,Crolit,India,Viewed | Promoted,No,Contract,"About the job
Crolit is matching emerging machine learning engineers with early-stage startups and founders building their founding AI teams. Instead of endless applications, you create a profile once and get matched with the right opportunities instantly.

You might be a fit if you:
Have 0–3 years of experience in data science, analytics, or applied statistics
Are comfortable with modern data science stacks (e.g. Python, R, SQL, Pandas, NumPy, SciPy, scikit-learn, TensorFlow, PyTorch, Spark, dbt, Snowflake, BigQuery)
Have built projects, whether internships, Kaggle competitions, research, OSS, or personal analytics/ML experiments that show real-world problem-solving
Are comfortable working in fast-paced, founder-led teams where you’ll own end-to-end data workflows, from collection and cleaning to modeling, dashboards, and insights

Role details:
Flexible work: async and remote-first
Expected commitment: 10–40 hrs/week (part-time or full-time)
Contract duration: 1–3 months, often with extension or conversion to full-time
Direct interviews with startup founders and hiring teams via Crolit

Compensation:
Pay ranges from $15/hr for part-time gigs to $15K–$30K annually for full-time roles

About Crolit
Crolit is an AI-powered hiring platform that connects developers, data scientists, and ML engineers with founders and early-stage startups. Our mission is simple: hire smarter, faster, and fairer. We eliminate outdated processes so talent spends less time applying and more time building.",3 years,10,N/A,LINKEDIN,4298540191,https://www.linkedin.com/jobs/search/?currentJobId=4298540191&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=50,6ab960742db15a10fa39886da60204e6
AI/ML Engineer,ComfNet Solutions GmbH,"Bengaluru, Karnataka, India",Viewed | Promoted | Easy Apply,Yes,Full-time,"About the job
Immediate hiring for a Hitachi group company - MNC

Role: AI / ML Engineer
Experience: 5+ Years
Notice Period: 15 - 20 Days Maximum
Job location: Bangalore, India
Work Mode: Hybrid

Job Description
Summary of the position: This position is responsible for designing, building, and deploying the machine learning models, focusing on the practical implementation of AI solutions, including data preparation, model training, deployment, and ongoing maintenance and optimisation.

Qualifications:

Technical Skills:
Programming Languages:

Required:
Expert-level proficiency in Python. Strong understanding of its ecosystem for
data science and machine learning (e.g., NumPy, Pandas, Scikit-learn, Matplotlib,
Seaborn).

Preferred:
Experience with other languages relevant to data engineering or deployment
(e.g., Python, Node.js, React.js, Java - to some extent).

AI/ML Frameworks and Libraries:

o Required:
Deep understanding and practical experience with at least one major deep
learning framework (e.g., TensorFlow, PyTorch)
Solid understanding and practical experience with classical machine learning
algorithms and Predictive Analytics.

Preferred:
Experience with libraries for Natural Language Processing (NLP) (e.g., NLTК,
SpaCy, Transformers library from Hugging Face) and computer vision (e.g., OpenCV,
Pillow).

Generative AI:

o Required:
Experience with developing and deploying generative AI models using services
like AWS Bedrock (e.g., for text generation, image generation, embeddings,
Function Calling, AI Agents, MCP Server, LLMs like OpenAI).
Understanding of prompt engineering techniques for large language models.

Software Development Practices:

o Required:
• Proficiency in writing clean, well-documented, and testable code.
• Experience with version control systems (e.g., Git).

Preferred:
Understanding of software development methodologies (e.g., Agile, Scrum).

Education:
Bachelor's degree in a related field like Computer Science, Engineering, or Data Science.

Professional experience:
Candidates should have a Total of 5-7 years of Experience 
Worked on 3 to 4 AI/ML projects and should be involved in design, development &
deploying learning models and systems. Designed and implemented a scalable machine learning pipeline for systems that deal with huge volumes of data. Like FedEx or 911 systems
 Job Responsibilities
Duties and responsibilities:

Model Development:

o Design and develop machine learning systems and models.
o Research and implement appropriate machine learning algorithms and tools.
o Select and prepare datasets for training and testing.
о Train and retrain models as needed.

Data Handling:
Ο Analyse and preprocess data for model training.
o Build and maintain data pipelines for efficient data flow.
이 Identify and address data quality issues.

Deployment and Monitoring:
o Deploy models to production environments.
o Monitor model performance and identify areas for improvement.
o Manage and maintain deployed models.
o Evaluate potential risks of AI/ML use cases and implement appropriate safeguards.

Collaboration and Communication:
o Work with data scientists, software engineers, and other stakeholders.
o Communicate technical findings and recommendations clearly.
o Understand business needs and translate them into technical solutions.

Infrastructure and Tools:
o Build and maintain the infrastructure required for machine learning model deployment.
o Stay up-to-date with the latest machine learning tools and technologies.

Problem-Solving:
o Identify and solve technical challenges related to machine learning model development
and deployment.
o Analyse model errors and design strategies to overcome them.
Ethical Considerations: Ensure that AI/ML systems are developed and deployed responsibly and
ethically.",5 years,15 ,N/A,LINKEDIN,4298998778,https://www.linkedin.com/jobs/search/?currentJobId=4298998778&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=50,b2bed0805771aeb75947d812af8960de
Machine Learning Specialist,Employ,"Hyderabad, Telangana, India",Viewed | Promoted | Easy Apply,Yes,Full-time,"About the job
Machine Learning Engineer – Data Quality Lead

Hyderabad | WFO | 6 Days with Flexibility for Saturday

We are building at the frontier of AI, where the quality of data directly defines the power of Large Language Models (LLMs).

As a Machine Learning Engineer – Data Quality Lead, you will:
Automate pipelines that ensure reliability, safety, and relevance of training datasets.
Run proxy fine-tuning and reward modeling experiments to validate quality.
Design evaluation frameworks (human + LLM-as-a-judge) to measure consistency and alignment.
Collaborate with annotation teams to drive scalable, high-quality data workflows.

What we’re looking for:
Strong understanding of LLM training & evaluation (SFT, RLHF, reward models).
Proficiency in Python, PyTorch, Hugging Face, and evaluation tooling.
Ability to translate model diagnostics into actionable insights.
Self-starter with a consultative mindset, comfortable working at the intersection of research and client success.

Why join:
Work on mission-driven AI projects that push the boundaries of model reliability.
Shape data pipelines that directly influence next-generation AI systems.
Join a fast-scaling AI-first team with global impact.

If you’re passionate about data-centric AI and want to work where data quality meets model excellence, let’s talk.",N/A,N/A,N/A,LINKEDIN,4298860826,https://www.linkedin.com/jobs/search/?currentJobId=4298860826&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=50,8db7931abed2e4562078d89b93cd95bb
Machine Learning Intern,UM IT Solutions,India,Viewed | Promoted,No,Internship,"About the job
Machine Learning Intern (Paid)
Company: WebBoost Solutions by UM
Location: Remote
Duration: 3 months
Opportunity: Full-time based on performance, with a Certificate of Internship
Application Deadline: 19th September 2025
About WebBoost Solutions by UM
WebBoost Solutions by UM provides students and graduates with hands-on learning and career growth opportunities in machine learning and data science.
Role Overview
As a Machine Learning Intern, you’ll work on real-world projects, gaining practical experience in machine learning and data analysis.
Responsibilities
✅ Design, test, and optimize machine learning models.
✅ Analyze and preprocess datasets.
✅ Develop algorithms and predictive models for various applications.
✅ Use tools like TensorFlow, PyTorch, and Scikit-learn.
✅ Document findings and create reports to present insights.
Requirements
🎓 Enrolled in or graduate of a relevant program (AI, ML, Data Science, Computer Science, or related field)
📊 Knowledge of machine learning concepts and algorithms.
🐍 Proficiency in Python or R (preferred).
🤝 Strong analytical and teamwork skills.
Benefits
💰 Stipend: ₹7,500 - ₹15,000 (Performance-Based) (Paid)
✔ Practical machine learning experience.
✔ Internship Certificate & Letter of Recommendation.
✔ Build your portfolio with real-world projects.
How to Apply
📩 Submit your application by 19th September 2025 with the subject: ""Machine Learning Intern Application"".
Equal Opportunity
WebBoost Solutions by UM is an equal opportunity employer, welcoming candidates from all backgrounds.",N/A,19,N/A,LINKEDIN,4301772934,https://www.linkedin.com/jobs/search/?currentJobId=4301772934&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=50,addb7ae0a9a3e840773ba2b54d76e29d
Data Scientist,Xebia,"Jaipur, Rajasthan, India",Viewed | Promoted | Easy Apply,Yes,Full-time,"About the job
Job Description

Job Role: Data Scientist
Experience: 2-4 Years
Job Location: Jaipur

About the Role
We are seeking a highly skilled and motivated Data Scientist to join our team. The ideal candidate will have strong analytical skills, expertise in data modeling, and the ability to translate complex data into actionable insights that support business decisions.

Key Responsibilities
Collect, clean, and analyze structured and unstructured data from multiple sources.
Develop and implement machine learning models, algorithms, and statistical techniques.
Perform exploratory data analysis (EDA) to identify patterns, trends, and insights.
Design and optimize predictive and prescriptive models for business use cases.
Collaborate with cross-functional teams (engineering, product, business) to understand requirements and deliver data-driven solutions.
Build dashboards, reports, and data visualizations to communicate findings effectively.
Stay updated with the latest advancements in data science, AI, and machine learning.

Required Skills & Qualifications
Bachelor’s or Master’s degree in Data Science, Computer Science, Statistics, Mathematics, or related field.
Proven experience (2+ years) as a Data Scientist or in a similar role.
Strong programming skills in Python/R and proficiency in SQL.
Experience with machine learning libraries and frameworks (e.g., scikit-learn, TensorFlow, PyTorch).
Hands-on experience with data visualization tools (e.g., Power BI, Tableau, matplotlib, seaborn).
Solid understanding of statistical analysis, hypothesis testing, and predictive modeling.
Familiarity with big data technologies (e.g., Spark, Hadoop) is a plus.
Excellent problem-solving and communication skills.

Preferred Qualifications
Experience working with Azure cloud platform.
Knowledge of deep learning and NLP techniques.
Exposure to MLOps and deployment of models in production.",4 years,N/A,N/A,LINKEDIN,4301646409,https://www.linkedin.com/jobs/search/?currentJobId=4301646409&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=50,a2a7d5f8c28f32218c4fa0726ad7902d
AI/ML Engineer-Gen AI,Relanto,Greater Bengaluru Area,Viewed | Promoted | Easy Apply,Yes,Full-time,"About the job
Job Title: Sr. AI/ML Engineer-Gen AI
Location: Bangalore
Experience: 3+ years

About the Role:
We are looking for an experienced AI/ML Engineer with a strong background in Generative AI (GenAI), Large Language Models (LLMs), and Retrieval-Augmented Generation (RAG) implementation. You will play a key role in designing, developing, and deploying cutting-edge AI solutions that leverage state-of-the-art machine learning techniques to solve complex problems.

Key Responsibilities:
Design, develop, and optimize LLM-based applications with a focus on RAG pipelines, fine-tuning, and model deployment.
Implement GenAI solutions for text generation, summarization, code generation, and other NLP tasks.
Develop and optimize ML models, leveraging classical and deep learning techniques.
Build and integrate retrieval systems using vector databases like FAISS, ChromaDB, Pinecone, or Weaviate.
Optimize and fine-tune LLMs (e.g., OpenAI GPT, LLaMA, Mistral, Falcon) for domain-specific use cases.
Develop data pipelines for training, validation, and inference.
Work on scalable AI solutions, ensuring performance and cost efficiency in deployment.
Collaborate with cross-functional teams to integrate AI models into production applications.

Required Skills & Qualifications:
3+ years of experience in AI/ML development.
Strong proficiency in Python and ML frameworks like TensorFlow, PyTorch, or Hugging Face Transformers.
Hands-on experience with LLMs, GenAI, and RAG architectures.
Experience working with vector databases (e.g., FAISS, Pinecone, ChromaDB).
Knowledge of ML algorithms, deep learning architectures, and NLP techniques.
Familiarity with cloud platforms (AWS, GCP, or Azure) and AI/ML model deployment.
Experience with LangChain or LlamaIndex for LLM applications is a plus.
Strong problem-solving skills and the ability to work in a fast-paced environment.

Perks & Benefits:
Health and Wellness: Healthcare policy covering your family and parents.
Food: Enjoy scrumptious buffet lunch at the office every day. (Bangalore)
Hybrid work policy: Beat the everyday traffic commute. A 3-day in office and 2-day WFH policy based on your roles and responsibilities.
Professional Development: Learn and propel your career. We provide workshops, funded online courses and other learning opportunities based on individual needs.
Rewards and Recognition's: Recognition and rewards programs in place to celebrate your achievements and contributions.

To find out more about us, head over to our Website and LinkedIn",3 years,N/A,N/A,LINKEDIN,4301239587,https://www.linkedin.com/jobs/search/?currentJobId=4301239587&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=50,e781b21d854f8512c536968861aeb724
Machine Learning Intern,Pixeltalent Lab,India,Viewed | Promoted,No,Full-time,"About the job
Company: Pixeltalent Lab Location: Remote Duration: 1–3 Months Stipend (Top Performers): ₹15,000 Perks: Certificate | Letter of Recommendation | Hands-on Training
About Pixeltalent Lab
Pixeltalent Lab offers project-based internships designed to help aspiring data scientists and ML engineers gain practical experience. Our Machine Learning Internship provides exposure to real-world datasets, model development, and deployment workflows.
Role Overview
As a Machine Learning Intern, you’ll work on building, training, and evaluating ML models using Python and popular libraries. You’ll contribute to data preprocessing, feature engineering, and model optimization tasks across live projects.
Key Responsibilities
Collect, clean, and preprocess structured and unstructured data
Implement ML algorithms using libraries such as scikit-learn, TensorFlow, or PyTorch
Perform exploratory data analysis and feature selection
Train, test, and validate predictive models
Optimize model performance and interpret results
Document workflows and collaborate with team members
Requirements
Pursuing or recently completed a degree in Computer Science, Data Science, or related field
Proficiency in Python and ML libraries (scikit-learn, pandas, NumPy)
Understanding of supervised and unsupervised learning techniques
Familiarity with Jupyter Notebooks and version control (Git)
Strong analytical and problem-solving skills
Ability to work independently and meet deadlines
What You’ll Gain
Hands-on experience with end-to-end ML workflows
Internship Completion Certificate
Letter of Recommendation for top performers
Exposure to real datasets and model deployment practices
A portfolio of ML projects and documented case studies",N/A,"₹15,000 ",N/A,LINKEDIN,4301677648,https://www.linkedin.com/jobs/search/?currentJobId=4301677648&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=50,b120b66ee21c2a747b189ce43da71d52
Data Scientist,AccioJob,"Gurugram, Haryana, India",Viewed | Promoted,No,Full-time,"About the job
This role is for one of AccioJob’s hiring partners: Duco Consultancy
Stipend: ₹22,000 per month (during internship)
CTC (Post Internship): ₹5 – ₹7 LPA
Job Title: Data Scientist
Location: Gurugram (Work From Office)
Job Type: Internship (6 months) + Full-Time Opportunity


Eligibility Criteri
aDegree: B.Tech / B.E., M.Tech / M.E., MCA, BCA, M.S
cBranches: CSE / IT / ECE / EEE / E
EGraduation Year: 2023, 2024, 202
5Experience: Minimum 3 months internship require

dThe Rol
eAs a Data Scientist at Duco Consultancy, you will work on extracting insights from large datasets and building predictive models to support data-driven decisions. You’ll use Python, R, SQL, and data visualization tools to design scalable analytical solutions and collaborate with cross-functional teams

.
Key Responsibiliti
esCollect, process, and analyze structured and unstructured datase
tsBuild statistical models and predictive algorithms using Python and
 RWrite optimized SQL queries for data extraction and analys
isDevelop dashboards and visualizations to communicate insights effective
lyCollaborate with engineering and business teams to implement data solutio

ns
What You’ll Br
ingStrong skills in Python, R, SQL, and Data Visualizat
ionAbility to apply data structures and statistical methods to real-world probl
emsGood problem-solving and analytical thinking abilit
iesStrong communication and collaboration ski
llsPrior internship/project experience (minimum 3 months) is mandat

ory
Evaluation Pro
cessAssessment Location: Offline at AccioJob Skill Centres – Noida & D
elhiCompany Interview Process: Online Assessment + 2 Technical Interv

iews
Skills Required: Python, R, SQL, Data Visualiz
ation",N/A,"₹22,000 per month",N/A,LINKEDIN,4300819728,https://www.linkedin.com/jobs/search/?currentJobId=4300819728&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=50,354f179dc8ddf8be596e74e45ee88f60
AI Engineer,Nouryon,"Navi Mumbai, Maharashtra, India",Viewed | Promoted | Easy Apply,Yes,Full-time,"About the job
At Nouryon, our global team of Changemakers takes positive action every day, to reach higher goals collectively and individually. We create innovative and sustainable solutions for our customers to answer society’s needs – today and in the future.

Purpose of the Job
The primary purpose of the AI Engineer role is to design, develop, and implement AI solutions that align with Nouryon's vision to become an AI-driven company. The AI Engineer will play a crucial role in transforming business operations and driving growth through AI technologies.

About the job (Job Responsibilities)
Design and Development of AI Solutions: The AI Engineer will spend a substantial portion of their time designing and developing AI solutions using technologies such as .NET technology, OpenAI, Azure OpenAI, Python. This involves understanding the business needs, conceptualizing solutions, and developing the AI models.
Collaboration and Requirements Gathering: The AI Engineer will work closely with various teams within the organization to understand their needs and translate them into AI-driven solutions. This involves regular meetings, discussions, and brainstorming sessions.
Live Demonstrations and Training: The AI Engineer will conduct live demo sessions to showcase the functionality and benefits of AI solutions. They will also provide training to other team members to ensure effective use of the AI solutions.
Maintenance and Troubleshooting: Post-deployment, the AI Engineer will be responsible for maintaining the AI solutions, troubleshooting any issues, and ensuring the solutions function as intended.
Staying Up to Date with AI Technologies and Trends: The AI Engineer will spend a portion of their time learning about the latest AI technologies and trends. They will incorporate these into the existing solutions to ensure Nouryon stays at the forefront of AI-driven business operations.
Design, develop, and implement AI solutions using technologies such as OpenAI, Azure OpenAI, Python, .NET tech stack.
Collaborate with various teams to understand their needs and translate them into AI-driven solutions.
Conduct live demo sessions to demonstrate the functionality and benefits of AI solutions.
Stay updated with the latest AI technologies and trends and incorporate them into our solutions.
Ensure the successful deployment and maintenance of AI solutions.
Troubleshoot and resolve any issues related to AI solutions.
Provide technical guidance and support to other team members.

Core Competencies for the role
Solution Architecture - The practice of defining and describing an architecture of a system delivered in context of a specific digital solution and as such it may encompass description of an entire system or only its specific parts.
Core Consulting Skills - Consults with others on problems and activities; collects information from a range of sources to assist and guide job activities; asks effective questions to obtain information to help him/her perform their job.
Business Process Knowledge - Leverages knowledge of products/services and processes to meet customer needs and has the ability to appreciate the technical nature of the business, as well as how a particular function relates to that industry and the competition.
User Experience - Calls attention to issues that impact customer satisfaction; views things from the perspective of customers; encourages people to think about customers when making decisions
Taking responsibility - Takes accountability for delivering on commitments; owns mistakes and uses them as opportunities for learning and development; openly discusses his/her actions and their consequences both good and bad. Actively providing solicited and unsolicited advice verbally, not only in Solution Design documents/-presentations.
Platform Integration - The knowledge, capability and understanding to use platforms and integrating applications and assuring the integration between systems so separate components function as one eco-system.
Data Analytics & Modelling - Draws accurate inferences from analyzing data; makes effective use of tools and technology to analyze data; understands and effectively uses modelling concepts to design logical inter-relationships of data and has knowledge of how data is stored retrieved and represented.
Act as sparring partner for DevOps teams in refinement - or team sessions.
Deliver Solution Directions for assigned User Stories, creating visual diagrams and proposals.
Taking ownership of structural challenges which cannot be solved operationally and require a more fundamental, structured, analytical approach.

We believe you bring (Education & Experience)
Master's degree in computer science, Information Technology, or a related field.
Experience: 5+ years of relevant experience.
Experience in (agile) IT project implementation and change management process.
Business process modelling and application architecture design (logical and physical) – frameworks (UML), tools, technologies, methodologies.
Proven hands-on experience in designing and developing GenAI solutions.
Proficient in technologies such as OpenAI, Azure OpenAI, Python, preferably experience using the latest frameworks such as Autogen, Semantic Kernel, Azure Copilot, Azure AI studio.
Relevant Microsoft certifications such as .NET development, Azure Architecture, Azure Development.
Strong problem-solving skills, with the ability to troubleshoot and resolve issues effectively
Excellent communication skills, with the ability to conduct live demo sessions.
Ability to work collaboratively with various teams.
Up to date with the latest AI technologies and trends.

Please apply via our online recruitment system. We will not accept applications via e-mail. Once it's with us we will review to see if we have a match between your skills and the role! For more information about our hiring process, visit: nouryon.com/careers/how-we-hire/
We look forward to receiving your application!

We kindly ask our internal candidates to apply with your Nouryon email via Success Factors.
We’re looking for tomorrow’s Changemakers, today.

If you’re looking for your next career move, apply today and join Nouryon’s worldwide team of Changemakers in providing essential solutions that our customers use to manufacture everyday products such as personal care, cleaning, paints and coatings, agriculture and food, pharmaceuticals, and building products. Our employees are driven by the wish to make an impact and actively drive positive change. If that describes you, we will gladly make way for your ambitions. From day one we support you with your personal growth, through challenging positions and comprehensive learning and development opportunities, in a dynamic, international, diverse, and proactive working environment.
Visit our website and follow us on LinkedIn.

#WeAreNouryon #Changemakers.",5 years,N/A,N/A,LINKEDIN,4300863485,https://www.linkedin.com/jobs/search/?currentJobId=4300863485&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=50,348b8253a868c9a4767e0d3099c0121c
Machine Learning Quant Researcher – Global Systematic Trading Firm (Remote),Venture Search,APAC,Viewed | Easy Apply,Yes,Full-time,"About the job
Machine Learning Quant Researcher – Global Systematic Trading Firm (Remote)

A global Top Tier Systematic Trading firm is looking to bolster their Research & Trading groups, with the various teams being spread globally and most of the current incumbents working remotely.

After 10+ years of market leading performance this group is seen as a major player in the Systematic Trading space and operates in an incredibly collaborative manor, giving ample opportunity for any new hires to hit the ground running. Their hybrid Research / Trading set up means that candidates will be expected to contribute directly to the PnL and will be compensated as such. 

As well as unparalleled trading performance, the group has access to top tier technology and trading support across both mid-frequency and high-frequency trading platforms.

Role Overview
As a Machine Learning Quant Researcher, you will design, implement, and test novel ML-driven trading strategies. You will leverage large, diverse datasets, develop predictive models, and work closely with technologists to deploy your ideas into production. This is a hands-on research role with direct impact on trading performance.

Key Responsibilities
Research and develop systematic trading strategies using machine learning and statistical methods.
Apply state-of-the-art ML techniques (e.g., deep learning, reinforcement learning, NLP, time-series modeling) to financial data.
Design and conduct experiments to evaluate models, including backtesting and live trials.
Collaborate with engineers to optimize research workflows and production deployment.

Qualifications
Advanced degree (PhD or MSc) in Computer Science, Machine Learning, Mathematics, Statistics, Physics, or related field.
Strong track record in applied ML research, ideally with experience in time-series forecasting, high-dimensional data, or decision-making under uncertainty.
Excellent coding in Python / C++
Solid understanding of probability, statistics, and optimization.
Experience handling large-scale datasets and applying rigorous validation techniques.
Intellectual curiosity, creativity, and a passion for solving complex problems.",10 years,10,N/A,LINKEDIN,4299518558,https://www.linkedin.com/jobs/search/?currentJobId=4299518558&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=50,82aff508cc87c542ceb1d63df6f645d7
Data Scientist,JM Financial Asset Management Ltd,"Mumbai, Maharashtra, India",Viewed | Promoted | Easy Apply,Yes,Full-time,"About the job
We are looking for a Data Scientist who is passionate about deriving business value from data. In this role, you will work closely with our Digital, Marketing, Analytics, Operations teams to analyze investor and partner data, build predictive models, The ideal candidate should have experience in machine learning, statistical modeling, and data visualization, with a strong understanding of financial services, customer behavior analytics, and risk modelling.
 Responsibilities
Analyze investor behaviour and distribution partner data to uncover trends and opportunities. Develop models for investor segmentation, churn prediction, and customer lifetime value estimation.
Measure campaign effectiveness, optimize targeting strategies, and enhance personalization. Support the team with automation, early warning signals, and fraud detection models.
Implement text mining and sentiment analysis on investor feedback, social media, and complaint data. Design dashboards and reports in collaboration with the MIS team to provide actionable insights.
Ensure data accuracy, security, and compliance with regulatory requirements.

Experience 

6-8 years
Excellent in Advance Excel.
Programming knowledge of Python, R, SAS (Enterprise Guide, E-Miner, VIYA)
Databases: SQL Server, MongoDB
Visualization: R-Shiny, Power BI, Excel
Machine Learning & Statistical Techniques. Regression ( Linear, Logistic)
Good to have ensemble methods: Random Forest, Gradient Boosting, NLP & Text Mining-Sentiment Analysis, Fuzzy, String Matching etc

Knowledge 

6+ years of experience in data science, analytics, or risk modeling in the financial services sector (mutual funds,
banking, lending).
Experience building Investor behavior models, early warning systems, and propensity model.
Strong understanding of investor behavior, digital customer journeys, and financial product analytics
Hands-on experience in automating data pipelines, web scraping, and predictive analytics.
Ability to translate complex data insights into clear business strategies",8 years,N/A,N/A,LINKEDIN,4299172001,https://www.linkedin.com/jobs/search/?currentJobId=4299172001&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=50,c737e92f201a6ad43262b79e3d84865f
AI Engineer,The Family Office Company BSC (c),"Bengaluru, Karnataka, India",Viewed,No,Full-time,"About the job
Role Overview We are looking for:

An experienced AI Engineer to develop and deploy machine learning solutions that drive business impact. You will manage projects from data preparation to model deployment, collaborating with cross-functional teams. Ideal candidates are passionate about AI, skilled in solving complex problems, and able to turn research into practical applications.

Key Responsibilities:

 Model Development: Design, train, and implement robust machine learning and AI models for production use.
 Data Engineering: Collect, clean, and structure diverse data sources to enable high-quality model training.
 Optimization & Evaluation: Rigorously test, evaluate, and fine-tune models for accuracy, performance, and scalability.
 Deployment & MLOps: Deploy AI models into production environments, automate workflows, and ensure reliable performance with monitoring systems.
 Collaboration: Partner with product managers, data engineers, and domain experts to translate business needs into AI-driven solutions.
 Innovation & Research: Stay ahead of AI trends, experiment with new techniques, and bring innovative ideas into practice.
 Documentation: Clearly document methodologies, experiments, and system designs for knowledge sharing and reproducibility.

Requirements:

 Bachelor’s or master’s degree in computer science, Engineering, Data Science, or a related field.
 Strong proficiency in Python (or similar languages such as Java, C++, or R).
 Hands-on experience with ML/DL frameworks such as TensorFlow, PyTorch, or Scikit-learn.
 Solid foundation in statistics, algorithms, and data structures.
 Proven ability to work with large, complex datasets and build scalable data pipelines.
 Excellent problem-solving, analytical thinking, and communication skills. Preferred Qualifications
 Experience in deep learning, NLP, or computer vision.
 Knowledge of MLOps practices (CI/CD for ML, model versioning, monitoring).
 Familiarity with cloud AI/ML services (AWS, Azure ML, GCP).
 Contributions to open-source projects or publications in applied AI.

The Family Office is an independent wealth management firm offering customized investment solutions in alternative asset classes, including private equity, private debt, and real estate. Serving high-net-worth individuals and families, we provide tailored strategies to address unique financial needs with a focus on transparency, diversification, and long-term value.

With a commitment to excellence and decades of expertise, The Family Office helps clients preserve and grow their wealth across generations.",N/A,N/A,N/A,LINKEDIN,4299541887,https://www.linkedin.com/jobs/search/?currentJobId=4299541887&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=50,3640525cf2d3088c02f2e13329e35f40
